ID                   Demora               Puesto              
1                    00:00hs              1                   
2                    00:00hs              2                   
3                    00:00hs              3                   
4                    00:00hs              4                   
5                    00:00hs              5                   
6                    00:00hs              6                   
7                    00:20hs              4                   
8                    00:30hs              3                   
9                    00:30hs              5                   
10                   00:30hs              6                   
11                   00:40hs              4                   
12                   00:50hs              1                   
13                   00:50hs              2                   
14                   01:00hs              1                   
15                   01:00hs              5                   
16                   01:00hs              6                   
17                   01:10hs              1                   
18                   01:20hs              2                   
19                   01:20hs              3                   
20                   01:30hs              1                   
21                   01:30hs              4                   
22                   01:30hs              6                   
23                   01:40hs              1                   
24                   01:40hs              3                   
25                   01:40hs              4                   
26                   01:50hs              3                   
27                   01:50hs              5                   
28                   02:00hs              5                   
29                   02:10hs              1                   
30                   02:10hs              2                   
31                   02:10hs              3                   
32                   02:20hs              5                   
33                   02:20hs              6                   
34                   02:30hs              4                   
35                   02:30hs              5                   
36                   02:40hs              1                   
37                   03:00hs              2                   
38                   03:00hs              3                   
39                   03:00hs              4                   
40                   03:00hs              5
